iter	Passed	Remaining
0	0	325
1	0	322
2	0	294
3	1	298
4	1	283
5	1	270
6	1	256
7	2	249
8	2	242
9	2	236
10	2	230
11	2	226
12	2	226
13	3	228
14	3	226
15	3	223
16	3	221
17	4	219
18	4	217
19	4	215
20	4	213
21	4	212
22	4	211
23	5	209
24	5	208
25	5	207
26	5	205
27	5	204
28	6	203
29	6	202
30	6	201
31	6	200
32	6	200
33	7	199
34	7	199
35	7	198
36	7	197
37	7	197
38	8	197
39	8	196
40	8	196
41	8	195
42	8	194
43	8	194
44	9	193
45	9	192
46	9	193
47	9	194
48	10	194
49	10	193
50	10	193
51	10	193
52	10	193
53	11	193
54	11	193
55	11	193
56	11	192
57	11	192
58	12	192
59	12	191
60	12	191
61	12	190
62	12	189
63	12	189
64	13	188
65	13	188
66	13	187
67	13	188
68	13	188
69	14	187
70	14	187
71	14	186
72	14	186
73	14	185
74	15	185
75	15	185
76	15	184
77	15	184
78	15	183
79	15	183
80	16	183
81	16	183
82	16	182
83	16	182
84	16	182
85	17	182
86	17	181
87	17	181
88	17	181
89	17	180
90	18	180
91	18	180
92	18	179
93	18	179
94	18	179
95	18	178
96	19	178
97	19	178
98	19	177
99	19	177
100	19	177
101	20	176
102	20	176
103	20	176
104	20	176
105	20	176
106	21	175
107	21	175
108	21	175
109	21	174
110	21	174
111	21	174
112	22	173
113	22	174
114	22	173
115	22	173
116	22	172
117	23	172
118	23	172
119	23	171
120	23	171
121	23	170
122	24	171
123	24	171
124	24	171
125	24	171
126	24	170
127	25	170
128	25	170
129	25	171
130	25	170
131	26	171
132	26	170
133	26	170
134	26	170
135	26	169
136	26	169
137	27	169
138	27	169
139	27	168
140	27	168
141	27	168
142	27	167
143	28	167
144	28	167
145	28	167
146	28	167
147	29	167
148	29	166
149	29	166
150	29	167
151	29	166
152	30	167
153	30	166
154	30	167
155	30	166
156	31	167
157	31	167
158	31	167
159	31	166
160	31	166
161	32	166
162	32	166
163	32	165
164	32	165
165	33	165
166	33	165
167	33	165
168	33	165
169	33	165
170	34	165
171	34	164
172	34	164
173	34	164
174	34	164
175	35	164
176	35	163
177	35	163
178	35	163
179	35	163
180	36	163
181	36	163
182	36	163
183	36	162
184	36	162
185	37	162
186	37	162
187	37	162
188	37	162
189	37	161
190	38	161
191	38	161
192	38	161
193	38	161
194	39	161
195	39	160
196	39	160
197	39	160
198	39	160
199	39	159
200	40	159
201	40	159
202	40	159
203	40	159
204	41	159
205	41	159
206	41	159
207	41	159
208	41	158
209	42	158
210	42	158
211	42	158
212	42	158
213	42	157
214	43	158
215	43	158
216	43	158
217	44	158
218	44	158
219	44	158
220	44	157
221	45	157
222	45	157
223	45	157
224	45	157
225	45	156
226	46	156
227	46	156
228	46	156
229	46	156
230	46	156
231	47	155
232	47	155
233	47	155
234	47	155
235	47	155
236	48	155
237	48	155
238	48	155
239	49	155
240	49	155
241	49	155
242	49	154
243	49	154
244	50	154
245	50	153
246	50	153
247	50	153
248	50	153
249	50	152
250	51	152
251	51	152
252	51	152
253	51	151
254	51	151
255	52	151
256	52	151
257	52	151
258	52	150
259	52	150
260	53	150
261	53	150
262	53	151
263	54	151
264	54	151
265	54	151
266	55	151
267	55	151
268	55	151
269	55	150
270	56	150
271	56	150
272	56	150
273	56	150
274	56	150
275	57	149
276	57	149
277	57	149
278	57	149
279	57	148
280	58	148
281	58	148
282	58	147
283	58	147
284	58	147
285	58	147
286	59	146
287	59	146
288	59	146
289	59	146
290	59	145
291	60	145
292	60	145
293	60	145
294	60	144
295	60	144
296	61	144
297	61	144
298	61	144
299	61	143
300	61	143
301	62	143
302	62	143
303	62	142
304	62	142
305	62	142
306	63	142
307	63	142
308	63	142
309	64	142
310	64	142
311	64	142
312	64	142
313	65	142
314	65	141
315	65	141
316	65	141
317	65	141
318	66	140
319	66	140
320	66	140
321	66	140
322	66	140
323	67	139
324	67	139
325	67	139
326	67	139
327	67	138
328	67	138
329	68	138
330	68	138
331	68	137
332	68	137
333	68	137
334	69	137
335	69	136
336	69	136
337	69	136
338	69	136
339	70	136
340	70	135
341	70	135
342	70	135
343	70	135
344	71	134
345	71	134
346	71	134
347	71	134
348	71	133
349	71	133
350	72	133
351	72	133
352	72	132
353	72	132
354	72	132
355	73	132
356	73	131
357	73	131
358	73	131
359	73	131
360	74	131
361	74	130
362	74	130
363	74	130
364	74	130
365	75	130
366	75	129
367	75	129
368	75	129
369	75	129
370	76	128
371	76	128
372	76	128
373	76	128
374	76	128
375	77	127
376	77	127
377	77	127
378	77	127
379	77	127
380	78	126
381	78	126
382	78	126
383	78	126
384	78	125
385	78	125
386	79	125
387	79	125
388	79	124
389	79	124
390	79	124
391	80	124
392	80	124
393	80	123
394	80	123
395	80	123
396	80	123
397	81	122
398	81	122
399	81	122
400	81	121
401	81	121
402	82	121
403	82	121
404	82	121
405	82	120
406	82	120
407	82	120
408	83	120
409	83	119
410	83	119
411	83	119
412	83	119
413	84	118
414	84	118
415	84	118
416	84	118
417	84	118
418	85	118
419	85	117
420	85	117
421	85	117
422	85	117
423	86	116
424	86	116
425	86	116
426	86	116
427	86	116
428	87	115
429	87	115
430	87	115
431	87	115
432	87	115
433	88	114
434	88	114
435	88	114
436	88	114
437	88	113
438	88	113
439	89	113
440	89	113
441	89	113
442	89	112
443	89	112
444	90	112
445	90	112
446	90	111
447	90	111
448	90	111
449	91	111
450	91	111
451	91	111
452	91	110
453	92	110
454	92	110
455	92	110
456	92	110
457	92	109
458	93	109
459	93	109
460	93	109
461	93	109
462	94	109
463	94	108
464	94	108
465	94	108
466	94	108
467	95	108
468	95	108
469	95	107
470	95	107
471	96	107
472	96	107
473	96	107
474	96	106
475	96	106
476	97	106
477	97	106
478	97	105
479	97	105
480	97	105
481	98	105
482	98	105
483	98	104
484	98	104
485	98	104
486	99	104
487	99	104
488	99	104
489	99	103
490	99	103
491	100	103
492	100	103
493	100	103
494	100	102
495	100	102
496	101	102
497	101	102
498	101	101
499	101	101
500	101	101
501	102	101
502	102	101
503	102	100
504	102	100
505	102	100
506	103	100
507	103	100
508	103	99
509	103	99
510	103	99
511	104	99
512	104	99
513	104	98
514	104	98
515	104	98
516	105	98
517	105	98
518	105	97
519	105	97
520	105	97
521	106	97
522	106	96
523	106	96
524	106	96
525	106	96
526	107	96
527	107	96
528	107	95
529	107	95
530	107	95
531	108	95
532	108	94
533	108	94
534	108	94
535	108	94
536	109	94
537	109	93
538	109	93
539	109	93
540	110	93
541	110	93
542	110	93
543	110	92
544	111	92
545	111	92
546	111	92
547	111	92
548	111	91
549	112	91
550	112	91
551	112	91
552	112	91
553	112	90
554	113	90
555	113	90
556	113	90
557	113	90
558	113	89
559	114	89
560	114	89
561	114	89
562	114	89
563	115	88
564	115	88
565	115	88
566	115	88
567	115	88
568	115	87
569	116	87
570	116	87
571	116	87
572	116	87
573	116	86
574	117	86
575	117	86
576	117	86
577	117	86
578	118	85
579	118	85
580	118	85
581	118	85
582	118	84
583	118	84
584	119	84
585	119	84
586	119	84
587	119	83
588	119	83
589	120	83
590	120	83
591	120	83
592	120	82
593	120	82
594	121	82
595	121	82
596	121	81
597	121	81
598	121	81
599	122	81
600	122	81
601	122	80
602	122	80
603	122	80
604	123	80
605	123	80
606	123	79
607	123	79
608	123	79
609	124	79
610	124	79
611	124	78
612	124	78
613	124	78
614	125	78
615	125	78
616	125	77
617	125	77
618	125	77
619	126	77
620	126	77
621	126	76
622	126	76
623	126	76
624	126	76
625	127	75
626	127	75
627	127	75
628	127	75
629	127	75
630	128	74
631	128	74
632	128	74
633	128	74
634	128	74
635	129	73
636	129	73
637	129	73
638	129	73
639	130	73
640	130	72
641	130	72
642	130	72
643	130	72
644	130	72
645	131	71
646	131	71
647	131	71
648	131	71
649	131	71
650	132	70
651	132	70
652	132	70
653	132	70
654	133	70
655	133	69
656	133	69
657	133	69
658	133	69
659	133	69
660	134	68
661	134	68
662	134	68
663	134	68
664	134	68
665	135	67
666	135	67
667	135	67
668	135	67
669	135	66
670	136	66
671	136	66
672	136	66
673	136	66
674	136	65
675	137	65
676	137	65
677	137	65
678	137	65
679	137	64
680	138	64
681	138	64
682	138	64
683	138	64
684	138	63
685	139	63
686	139	63
687	139	63
688	139	63
689	139	62
690	140	62
691	140	62
692	140	62
693	141	62
694	141	61
695	141	61
696	141	61
697	141	61
698	141	61
699	142	60
700	142	60
701	142	60
702	142	60
703	142	60
704	143	59
705	143	59
706	143	59
707	143	59
708	143	59
709	144	58
710	144	58
711	144	58
712	144	58
713	144	58
714	145	57
715	145	57
716	145	57
717	145	57
718	145	57
719	146	56
720	146	56
721	146	56
722	146	56
723	146	56
724	147	55
725	147	55
726	147	55
727	147	55
728	147	55
729	148	54
730	148	54
731	148	54
732	148	54
